game_id,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset
2019010500,2018,NRG Stadium,1/5/2019 15:35,1/5/2019 18:33,-6
2019010501,2018,AT&T Stadium,1/5/2019 19:15,1/5/2019 22:26,-6
2019010600,2018,M&T Bank Stadium,1/6/2019 13:05,1/6/2019 16:22,-5
2019010601,2018,Soldier Field,1/6/2019 15:40,1/6/2019 18:49,-6
2019011200,2018,Arrowhead Stadium,1/12/2019 15:35,1/12/2019 18:43,-6
2019011201,2018,Los Angeles Memorial Coliseum,1/12/2019 17:15,1/12/2019 20:16,-8
2019011300,2018,Gillette Stadium,1/13/2019 13:05,1/13/2019 16:37,-5
2019011301,2018,Mercedes-Benz Superdome,1/13/2019 15:40,1/13/2019 18:46,-6
2019012000,2018,Mercedes-Benz Superdome,1/20/2019 14:05,1/20/2019 17:14,-6
2019012001,2018,Arrowhead Stadium,1/20/2019 17:40,1/20/2019 21:12,-6
2019020300,2018,Mercedes-Benz Stadium,2/3/2019 18:30,2/3/2019 22:02,-5
2019090500,2019,Soldier Field,9/5/2019 19:20,9/5/2019 22:27,-5
2019090800,2019,Bank of America Stadium,9/8/2019 13:00,9/8/2019 16:12,-4
2019090801,2019,FirstEnergy Stadium,9/8/2019 13:00,9/8/2019 16:12,-4
2019090802,2019,TIAA Bank Field,9/8/2019 13:00,9/8/2019 16:04,-4
2019090803,2019,Hard Rock Stadium,9/8/2019 13:00,9/8/2019 15:58,-4
2019090804,2019,U.S. Bank Stadium,9/8/2019 12:00,9/8/2019 15:07,-5
2019090805,2019,MetLife Stadium,9/8/2019 13:00,9/8/2019 16:09,-4
2019090806,2019,Lincoln Financial Field,9/8/2019 13:00,9/8/2019 16:13,-4
2019090807,2019,Dignity Health Sports Park,9/8/2019 13:05,9/8/2019 16:09,-7
2019090808,2019,CenturyLink Field,9/8/2019 13:05,9/8/2019 16:17,-7
2019090809,2019,State Farm Stadium,9/8/2019 13:25,9/8/2019 17:23,-7
2019090810,2019,AT&T Stadium,9/8/2019 15:25,9/8/2019 18:28,-5
2019090811,2019,Raymond James Stadium,9/8/2019 16:25,9/8/2019 19:31,-4
2019090812,2019,Gillette Stadium,9/8/2019 20:20,9/8/2019 23:20,-4
2019090900,2019,Mercedes-Benz Superdome,9/9/2019 18:10,9/9/2019 21:24,-5
2019090901,2019,Oakland Coliseum,9/9/2019 19:20,9/9/2019 22:09,-7
2019091200,2019,Bank of America Stadium,9/12/2019 20:20,9/13/2019 0:11,-4
2019091500,2019,M&T Bank Stadium,9/15/2019 13:00,9/15/2019 16:09,-4
2019091501,2019,Paul Brown Stadium,9/15/2019 13:00,9/15/2019 15:59,-4
2019091502,2019,Ford Field,9/15/2019 13:00,9/15/2019 15:55,-4
2019091503,2019,Lambeau Field,9/15/2019 12:00,9/15/2019 15:18,-5
2019091504,2019,NRG Stadium,9/15/2019 12:00,9/15/2019 15:04,-5
2019091505,2019,Hard Rock Stadium,9/15/2019 13:00,9/15/2019 16:09,-4
2019091506,2019,MetLife Stadium,9/15/2019 13:00,9/15/2019 16:11,-4
2019091507,2019,Heinz Field,9/15/2019 13:00,9/15/2019 16:14,-4
2019091508,2019,Nissan Stadium,9/15/2019 12:00,9/15/2019 15:01,-5
2019091509,2019,FedExField,9/15/2019 13:00,9/15/2019 15:54,-4
2019091510,2019,Oakland Coliseum,9/15/2019 13:05,9/15/2019 16:17,-7
2019091511,2019,Empower Field at Mile High,9/15/2019 14:25,9/15/2019 17:31,-6
2019091512,2019,Los Angeles Memorial Coliseum,9/15/2019 13:25,9/15/2019 16:34,-7
2019091513,2019,Mercedes-Benz Stadium,9/15/2019 20:20,9/15/2019 23:36,-4
2019091600,2019,MetLife Stadium,9/16/2019 20:15,9/16/2019 23:17,-4
2019091900,2019,TIAA Bank Field,9/19/2019 20:20,9/19/2019 23:21,-4
2019092200,2019,New Era Field,9/22/2019 13:00,9/22/2019 16:15,-4
2019092201,2019,AT&T Stadium,9/22/2019 12:00,9/22/2019 15:08,-5
2019092202,2019,Lambeau Field,9/22/2019 12:00,9/22/2019 14:58,-5
2019092203,2019,Lucas Oil Stadium,9/22/2019 13:00,9/22/2019 15:59,-4
2019092204,2019,Arrowhead Stadium,9/22/2019 12:00,9/22/2019 15:12,-5
2019092205,2019,U.S. Bank Stadium,9/22/2019 12:00,9/22/2019 14:49,-5
2019092206,2019,Gillette Stadium,9/22/2019 13:00,9/22/2019 15:58,-4
2019092207,2019,Lincoln Financial Field,9/22/2019 13:00,9/22/2019 16:09,-4
2019092208,2019,State Farm Stadium,9/22/2019 13:05,9/22/2019 16:01,-7
2019092209,2019,Raymond James Stadium,9/22/2019 16:05,9/22/2019 19:25,-4
2019092210,2019,Dignity Health Sports Park,9/22/2019 13:25,9/22/2019 16:42,-7
2019092211,2019,CenturyLink Field,9/22/2019 13:25,9/22/2019 16:34,-7
2019092212,2019,Levi's Stadium,9/22/2019 13:25,9/22/2019 16:22,-7
2019092213,2019,FirstEnergy Stadium,9/22/2019 20:20,9/22/2019 23:24,-4
2019092300,2019,FedExField,9/23/2019 20:15,9/23/2019 23:20,-4
2019092600,2019,Lambeau Field,9/26/2019 19:20,9/26/2019 22:47,-5
2019092900,2019,Mercedes-Benz Stadium,9/29/2019 13:00,9/29/2019 15:57,-4
2019092901,2019,M&T Bank Stadium,9/29/2019 13:00,9/29/2019 16:08,-4
2019092902,2019,New Era Field,9/29/2019 13:00,9/29/2019 16:19,-4
2019092903,2019,Ford Field,9/29/2019 13:00,9/29/2019 16:34,-4
2019092904,2019,NRG Stadium,9/29/2019 12:00,9/29/2019 15:06,-5
2019092905,2019,Lucas Oil Stadium,9/29/2019 13:00,9/29/2019 16:11,-4
